reaction	GPR	score	normalized_score
R_4HALDD	(BHNFPM_00526 or BHNFPM_01180)	458.0	1.7
R_4HBALDtex	BHNFPM_00649	67.4	0.3
R_4HBAtex	BHNFPM_00649	67.4	0.3
R_4HBZtex	BHNFPM_00649	67.4	0.3
R_4HPRODCabcpp	BHNFPM_02843	629.0	2.4
R_4HPROLTabcpp	BHNFPM_02843	629.0	2.4
R_4HPTNCOAL	BHNFPM_03535	386.0	1.5
R_4HTHRA	BHNFPM_01009	244.0	0.9
R_4HTHRS_1	BHNFPM_00562	471.0	1.8
R_4PCP	(BHNFPM_01264 or BHNFPM_02293)	193.0	0.7
R_4PEPTabcpp	((BHNFPM_02296 and BHNFPM_03762) or BHNFPM_01047 or BHNFPM_03967)	131.0	0.5
R_5APTNabcpp	(BHNFPM_02891 and BHNFPM_02892)	60.4	0.2
R_5DGLCNR	BHNFPM_03778	182.0	0.7
R_5DKGR	(BHNFPM_00269 or BHNFPM_03778)	269.0	1.0
R_6PGALSZ_1	BHNFPM_03899	278.0	1.0
R_6PHBG_2	(BHNFPM_04316 or BHNFPM_04386)	638.0	2.4
R_A6PAG	BHNFPM_03981	122.0	0.5
R_A6PAG2	BHNFPM_03981	122.0	0.5
R_AACLAM	BHNFPM_03245	637.0	2.4
R_AACPS1	BHNFPM_02001	42.35	0.2
R_AACPS2	BHNFPM_02001	42.35	0.2
R_AACPS3	BHNFPM_02001	42.35	0.2
R_AACPS4	BHNFPM_02001	42.35	0.2
R_AACPS5	BHNFPM_02001	42.35	0.2
R_AACPS6	BHNFPM_02001	42.35	0.2
R_AACPS7	BHNFPM_02001	42.35	0.2
R_AACPS8	BHNFPM_02001	42.35	0.2
R_AACPS9	BHNFPM_02001	42.35	0.2
R_AADSACYCL	spontaneous	0.0	0.0
R_AALDCDLsi	spontaneous	0.0	0.0
R_AB6PGH	(BHNFPM_01420 or BHNFPM_04316)	620.0	2.3
R_ABG4t2	BHNFPM_03867	468.0	1.8
R_ABTA	BHNFPM_02609	229.0	0.9
R_ABUTD	(BHNFPM_00526 or BHNFPM_01082 or BHNFPM_01180 or BHNFPM_03431)	759.0	2.9
R_ABUTt2r	BHNFPM_02244	161.0	0.6
R_ACACCT	((BHNFPM_02607 and BHNFPM_02608) or BHNFPM_02607)	206.0	0.8
R_ACACT1r	(BHNFPM_00528 or BHNFPM_01771 or BHNFPM_02793 or BHNFPM_04193 or BHNFPM_04382)	508.0	1.9
R_ACACT2r	BHNFPM_03512	629.0	2.4
R_ACACT3r	BHNFPM_03512	629.0	2.4
R_ACACT4r	BHNFPM_03512	629.0	2.4
R_ACACT5r	BHNFPM_04382	301.0	1.1
R_ACACT5r_1	BHNFPM_03512	629.0	2.4
R_ACACT6r_1	BHNFPM_03512	629.0	2.4
R_ACACT7r	BHNFPM_03512	629.0	2.4
R_ACACt2pp	BHNFPM_04233	423.0	1.6
R_ACALDt	spontaneous	0.0	0.0
R_ACALDtpp	spontaneous	0.0	0.0
R_ACCOAC	((BHNFPM_01926 and BHNFPM_01926) or (BHNFPM_02687 and BHNFPM_02853 and BHNFPM_02854 and BHNFPM_03216 and BHNFPM_03217) or BHNFPM_01926 or BHNFPM_02817)	443.6	1.7
R_ACGAMK	(BHNFPM_00884 or BHNFPM_01413)	79.7	0.3
R_ACGApts	((BHNFPM_00675 and BHNFPM_01425 and BHNFPM_01824 and BHNFPM_01825) or (BHNFPM_01824 and BHNFPM_01825) or BHNFPM_01824)	324.4	1.2
R_ACGAptspp	((BHNFPM_00675 and BHNFPM_00882 and BHNFPM_02612) or (BHNFPM_00675 and BHNFPM_00882) or (BHNFPM_00882 and BHNFPM_01425) or (BHNFPM_00882 and BHNFPM_02612) or BHNFPM_00882)	285.7	1.1
R_ACGK	BHNFPM_00445	190.0	0.7
R_ACGS	(BHNFPM_00251 or BHNFPM_00367 or BHNFPM_00444 or BHNFPM_01032)	484.0	1.8
R_ACHBS	(BHNFPM_00553 and BHNFPM_00554)	510.5	1.9
R_ACKr	BHNFPM_03235	652.0	2.5
R_ACLDC	BHNFPM_02870	53.9	0.2
R_ACLS	(BHNFPM_00553 and BHNFPM_00554)	510.5	1.9
R_ACLS_a	(BHNFPM_00542 and BHNFPM_01868)	440.5	1.7
R_ACLS_d	(BHNFPM_00542 and BHNFPM_01868)	440.5	1.7
R_ACM6PH	BHNFPM_03881	278.0	1.0
R_ACMANApts	((BHNFPM_01824 and BHNFPM_01825) or BHNFPM_04304)	443.5	1.7
R_ACMANAptspp	BHNFPM_00882	12.6	0.0
R_ACMUMptspp	((BHNFPM_00882 and BHNFPM_02612) or BHNFPM_00882)	52.05	0.2
R_ACNAMt2	BHNFPM_03952	167.0	0.6
R_ACNAMt2pp	BHNFPM_03769	46.2	0.2
R_ACOAD1	(BHNFPM_00492 or BHNFPM_02959 or BHNFPM_03511 or BHNFPM_04190 or BHNFPM_04191)	895.0	3.4
R_ACOAD1fr	BHNFPM_03166	226.0	0.9
R_ACOAD2	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOAD20	(BHNFPM_00492 or BHNFPM_02959 or BHNFPM_03511)	895.0	3.4
R_ACOAD3	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOAD4_1	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOAD5_1	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOAD6	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOAD7	(BHNFPM_04190 or BHNFPM_04191)	610.0	2.3
R_ACOADH2	(BHNFPM_00492 or BHNFPM_02959 or BHNFPM_03511)	895.0	3.4
R_ACOAM	BHNFPM_03245	637.0	2.4
R_ACODA	BHNFPM_00747	298.0	1.1
R_ACONCt4pp	(BHNFPM_01292 and BHNFPM_01293 and BHNFPM_01294)	201.33333333333334	0.8
R_ACONCtupp	(BHNFPM_01292 and BHNFPM_04320)	191.0	0.7
R_ACONT	BHNFPM_02343	1398.0	5.3
R_ACONTa	BHNFPM_02343	1343.0	5.1
R_ACONTb	BHNFPM_02343	1343.0	5.1
R_ACOTA	BHNFPM_00446	444.0	1.7
R_ACOXT	BHNFPM_03890	231.0	0.9
R_ACP1_FMN	BHNFPM_04145	48.9	0.2
R_ACPPAT120	BHNFPM_02001	41.4	0.2
R_ACPPAT140	BHNFPM_02001	41.4	0.2
R_ACPPAT141	BHNFPM_02001	41.4	0.2
R_ACPPAT160	BHNFPM_02001	41.4	0.2
R_ACPPAT161	BHNFPM_02001	41.4	0.2
R_ACPPAT180	BHNFPM_02001	41.4	0.2
R_ACPPAT181	BHNFPM_02001	41.4	0.2
R_ACPS	BHNFPM_02538	90.9	0.3
R_ACPS1	BHNFPM_00334	138.0	0.5
R_ACPS1_1	BHNFPM_02001	45.65	0.2
R_ACPpds	BHNFPM_02309	268.0	1.0
R_ACS	BHNFPM_03261	920.0	3.5
R_ACS2	BHNFPM_03261	920.0	3.5
R_ACSERHS	BHNFPM_03297	323.0	1.2
R_ACSERtpp	BHNFPM_03820	54.3	0.2
R_ACS_1	BHNFPM_03261	848.0	3.2
R_ACTD	(BHNFPM_04011 or BHNFPM_04331)	120.0	0.5
R_ACTD2	((BHNFPM_03262 and BHNFPM_03263 and BHNFPM_03264) or BHNFPM_03438)	357.3333333333333	1.3
R_ACTD_1	BHNFPM_02421	192.0	0.7
R_ACTDa	(BHNFPM_04011 or BHNFPM_04331)	120.0	0.5
R_ACTNabc	((BHNFPM_00257 and BHNFPM_03056 and BHNFPM_03843) or BHNFPM_03842)	216.0	0.8
R_ACTNabc1	(BHNFPM_00257 and BHNFPM_03056 and BHNFPM_03843)	72.96000000000001	0.3
R_ACt2rpp	BHNFPM_04119	350.0	1.3
R_ACt4pp	BHNFPM_04119	350.0	1.3
R_ACtex	BHNFPM_00649	67.4	0.3
R_ADADir	BHNFPM_00026	316.0	1.2
R_ADCL	(BHNFPM_00104 or BHNFPM_03037)	251.0	0.9
R_ADCS	((BHNFPM_00102 and BHNFPM_00103) or BHNFPM_02551)	394.0	1.5
R_ADD	(BHNFPM_00434 or BHNFPM_00576 or BHNFPM_01434)	575.0	2.2
R_ADEt2rpp	BHNFPM_02561	231.0	0.9
R_ADK1	BHNFPM_00177	343.0	1.3
R_ADK2	BHNFPM_00177	343.0	1.3
R_ADMDC	(BHNFPM_02441 or BHNFPM_03197)	335.0	1.3
R_ADNCYC	(BHNFPM_00591 or BHNFPM_01739)	119.0	0.4
R_ADNK1	BHNFPM_00026	316.0	1.2
R_ADNUC	(BHNFPM_00572 or BHNFPM_01772)	192.0	0.7
R_ADPDA	BHNFPM_01847	498.0	1.9
R_ADPRDP	(BHNFPM_00846 or BHNFPM_01143 or BHNFPM_02365 or BHNFPM_02626 or BHNFPM_02787 or BHNFPM_03577 or BHNFPM_03995)	224.0	0.8
R_ADPRDP_1	BHNFPM_01143	40.0	0.2
R_ADPT	(BHNFPM_00066 or BHNFPM_03069)	302.0	1.1
R_ADSELR	BHNFPM_03281	23.9	0.1
R_ADSK	BHNFPM_02416	251.0	0.9
R_ADSL1r	BHNFPM_00422	749.0	2.8
R_ADSL2r	BHNFPM_00422	749.0	2.8
R_ADSS	BHNFPM_04445	776.0	2.9
R_AEPPYRTA	BHNFPM_02201	50.0	0.2
R_AEPabcpp	(BHNFPM_00319 and BHNFPM_03847 and BHNFPM_03849)	152.0	0.6
R_AGDC	BHNFPM_03400	350.0	1.3
R_AGM3PA	BHNFPM_04227	43.9	0.2
R_AGM3PApp	BHNFPM_04227	43.9	0.2
R_AGM4PA	BHNFPM_04227	43.9	0.2
R_AGM4PApp	BHNFPM_04227	43.9	0.2
R_AGM4PCP	(BHNFPM_01264 or BHNFPM_02293)	193.0	0.7
R_AGMPTRCtpp	BHNFPM_02244	173.0	0.7
R_AGMT	(BHNFPM_00771 or BHNFPM_04201)	502.0	1.9
R_AGPAT160	BHNFPM_02730	120.0	0.5
R_AGPAT161	BHNFPM_02730	120.0	0.5
R_AGPAT180	BHNFPM_02730	120.0	0.5
R_AGPAT181	BHNFPM_02730	120.0	0.5
R_AGPATr_BS	BHNFPM_02239	180.0	0.7
R_AGPR	BHNFPM_00443	427.0	1.6
R_AH6PI	BHNFPM_01217	132.0	0.5
R_AHCYSNS	(BHNFPM_00829 or BHNFPM_03029)	308.0	1.2
R_AHCi	BHNFPM_00829	52.8	0.2
R_AHMMPS_1	BHNFPM_01231	72.8	0.3
R_AHSERL2	(BHNFPM_03781 or BHNFPM_03782)	540.0	2.0
R_AHSERL4	BHNFPM_00101	509.0	1.9
R_AI2tpp	BHNFPM_02531	68.9	0.3
R_AICART	BHNFPM_00430	699.0	2.6
R_AIRC1	(BHNFPM_00420 and BHNFPM_00421)	319.5	1.2
R_AIRCr	BHNFPM_04298	369.0	1.4
R_AKGDH	((BHNFPM_01871 and BHNFPM_02509 and BHNFPM_02510) or BHNFPM_00322 or BHNFPM_03304)	827.0	3.1
R_AKP1	BHNFPM_04404	333.0	1.3
R_AL4D	BHNFPM_04331	118.0	0.4
R_ALAALAabcpp	((BHNFPM_01489 and BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761 and BHNFPM_03762) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761 and BHNFPM_03967) or (BHNFPM_01491 and BHNFPM_01492 and BHNFPM_03761) or (BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761) or (BHNFPM_03629 and BHNFPM_03763) or BHNFPM_01432 or BHNFPM_01493)	258.8	1.0
R_ALAALAr	BHNFPM_00326	477.0	1.8
R_ALAD_L	(BHNFPM_01373 or BHNFPM_03227)	567.0	2.1
R_ALAGLNtr	BHNFPM_03285	439.0	1.7
R_ALAGLUabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_ALAGLYtr	BHNFPM_03285	439.0	1.7
R_ALAHISabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_ALAHIStr	BHNFPM_03285	439.0	1.7
R_ALALEUabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_ALALEUt	BHNFPM_03285	439.0	1.7
R_ALAR	(BHNFPM_00336 or BHNFPM_01953)	392.0	1.5
R_ALATA_D	BHNFPM_03299	302.0	1.1
R_ALATA_D2	BHNFPM_01009	252.0	1.0
R_ALATA_L	BHNFPM_03436	526.0	2.0
R_ALATA_L2	BHNFPM_01009	252.0	1.0
R_ALATHRabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_ALATHRtr	BHNFPM_03285	439.0	1.7
R_ALATRPabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_ALAabc	((BHNFPM_02891 and BHNFPM_02892) or BHNFPM_02631 or BHNFPM_02821 or BHNFPM_03138 or BHNFPM_03709)	301.0	1.1
R_ALAabcpp	((BHNFPM_02891 and BHNFPM_02892) or BHNFPM_02892)	60.4	0.2
R_ALAt2pp	(BHNFPM_00872 or BHNFPM_04405)	588.0	2.2
R_ALAt2r	(BHNFPM_00491 or BHNFPM_01371 or BHNFPM_02357)	664.0	2.5
R_ALAt4	(BHNFPM_01371 or BHNFPM_02357 or BHNFPM_03490)	538.0	2.0
R_ALCD19	(BHNFPM_00795 or BHNFPM_03431)	741.0	2.8
R_ALCD19y	(BHNFPM_00823 or BHNFPM_02375 or BHNFPM_02789)	421.0	1.6
R_ALCD2ir	(BHNFPM_00795 or BHNFPM_00823)	421.0	1.6
R_ALCD2x	BHNFPM_00795	211.0	0.8
R_ALCD2y	(BHNFPM_00823 or BHNFPM_00840)	475.0	1.8
R_ALDD1	(BHNFPM_00526 or BHNFPM_00823 or BHNFPM_01082)	440.0	1.7
R_ALDD19xr	(BHNFPM_00526 or BHNFPM_03431)	718.0	2.7
R_ALDD20x	(BHNFPM_00526 or BHNFPM_03431)	759.0	2.9
R_ALDD20y	BHNFPM_03431	759.0	2.9
R_ALDD2x	(BHNFPM_00526 or BHNFPM_01082 or BHNFPM_01180 or BHNFPM_03431)	759.0	2.9
R_ALDD2y	(BHNFPM_00526 or BHNFPM_01698 or BHNFPM_02388 or BHNFPM_03422 or BHNFPM_03431)	759.0	2.9
R_ALDD3	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALDD31_1	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALDD3y	(BHNFPM_03422 or BHNFPM_03431)	725.0	2.7
R_ALDD4	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALDD4x	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALDD5	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALDD6	(BHNFPM_00526 or BHNFPM_01082)	440.0	1.7
R_ALKP	(BHNFPM_01566 or BHNFPM_02269 or BHNFPM_04404)	333.0	1.3
R_ALLTAMH	BHNFPM_00839	42.7	0.2
R_ALLTN	BHNFPM_03961	58.5	0.2
R_ALLULPE	BHNFPM_00383	243.0	0.9
R_ALLabcpp	(BHNFPM_01389 and BHNFPM_02093)	60.5	0.2
R_ALPHNH	((BHNFPM_00471 and BHNFPM_00472) or BHNFPM_00472)	211.0	0.8
R_ALR2	(BHNFPM_00945 or BHNFPM_00949 or BHNFPM_01837 or BHNFPM_02804)	164.0	0.6
R_ALTRH	BHNFPM_04148	528.0	2.0
R_AM3PA	BHNFPM_04227	43.9	0.2
R_AM4PA	BHNFPM_04227	43.9	0.2
R_AM4PCP	(BHNFPM_01264 or BHNFPM_02293)	193.0	0.7
R_AMANK	(BHNFPM_01107 or BHNFPM_01413)	162.0	0.6
R_AMANK_1	BHNFPM_03743	372.0	1.4
R_AMAOTr	BHNFPM_02609	236.0	0.9
R_AMID4	BHNFPM_01806	198.0	0.7
R_AMID_1	BHNFPM_01573	92.0	0.3
R_AMMQLT8	(BHNFPM_01240 or BHNFPM_03680)	62.4	0.2
R_AMMQT8_2	(BHNFPM_01099 or BHNFPM_01240)	50.8	0.2
R_AMPD2	BHNFPM_03042	70.5	0.3
R_AMPEP1	BHNFPM_02864	362.0	1.4
R_AMPEP10	BHNFPM_02864	362.0	1.4
R_AMPEP11	BHNFPM_02864	362.0	1.4
R_AMPEP12	BHNFPM_02864	362.0	1.4
R_AMPEP13	BHNFPM_02864	362.0	1.4
R_AMPEP14	BHNFPM_02864	362.0	1.4
R_AMPEP15	BHNFPM_02864	362.0	1.4
R_AMPEP16	BHNFPM_02864	362.0	1.4
R_AMPEP17	BHNFPM_02864	362.0	1.4
R_AMPEP18	BHNFPM_02864	362.0	1.4
R_AMPEP2	BHNFPM_02864	362.0	1.4
R_AMPEP3	BHNFPM_02864	362.0	1.4
R_AMPEP4	BHNFPM_02864	362.0	1.4
R_AMPEP5	BHNFPM_02864	362.0	1.4
R_AMPEP6	BHNFPM_02864	362.0	1.4
R_AMPEP7	BHNFPM_02864	362.0	1.4
R_AMPEP8	BHNFPM_02864	362.0	1.4
R_AMPEP9	BHNFPM_02864	362.0	1.4
R_AMPTASEAH	BHNFPM_03461	265.0	1.0
R_AMPTASEAL	BHNFPM_03461	265.0	1.0
R_AMPTASEAT	BHNFPM_03461	265.0	1.0
R_AMPTASEATRP	BHNFPM_03461	265.0	1.0
R_AMPTASECG	((BHNFPM_00178 and BHNFPM_00178 and BHNFPM_02333 and BHNFPM_03461) or BHNFPM_02816 or BHNFPM_02864 or BHNFPM_03091 or BHNFPM_03461)	362.0	1.4
R_AMPTASEGGLN	BHNFPM_03461	265.0	1.0
R_AMPTASEGGLU	BHNFPM_03461	265.0	1.0
R_AMPTASEGM	BHNFPM_03461	265.0	1.0
R_AMPTASEGS	BHNFPM_03461	265.0	1.0
R_AMPTASEHG	BHNFPM_03461	265.0	1.0
R_AMPTASEHH	BHNFPM_03461	265.0	1.0
R_AMPTASEPG	BHNFPM_03461	265.0	1.0
R_ANHMK	BHNFPM_01412	391.0	1.5
R_ANPRT	BHNFPM_02550	281.0	1.1
R_ANS	((BHNFPM_02551 and BHNFPM_02552) or BHNFPM_00103 or BHNFPM_02551 or BHNFPM_02552)	315.0	1.2
R_ANS2	(BHNFPM_02551 and BHNFPM_02552)	315.0	1.2
R_ANSN	BHNFPM_02551	100.0	0.4
R_AOBUTDs	spontaneous	0.0	0.0
R_AOXHEXCYCL	spontaneous	0.0	0.0
R_AP4AH	(BHNFPM_00717 or BHNFPM_01076 or BHNFPM_02448)	49.3	0.2
R_AP4AS	BHNFPM_00518	413.0	1.6
R_APATi	BHNFPM_01846	310.0	1.2
R_APG3PAT120	BHNFPM_02200	65.9	0.2
R_APG3PAT141	BHNFPM_02200	65.9	0.2
R_APG3PAT160	BHNFPM_02200	65.9	0.2
R_APG3PAT161	BHNFPM_02200	65.9	0.2
R_APG3PAT180	BHNFPM_02200	65.9	0.2
R_APG3PAT181	BHNFPM_02200	65.9	0.2
R_APRAUR	BHNFPM_02565	374.0	1.4
R_APSR	(BHNFPM_02419 or BHNFPM_03281)	352.0	1.3
R_APTA1i	BHNFPM_01827	471.0	1.8
R_ARABRr	(BHNFPM_01170 or BHNFPM_01568)	357.0	1.3
R_ARBTpts	((BHNFPM_01824 and BHNFPM_01825 and BHNFPM_04420) or (BHNFPM_01824 and BHNFPM_01825))	473.0	1.8
R_ARBTptspp	((BHNFPM_00882 and BHNFPM_04316) or (BHNFPM_00882 and BHNFPM_04317) or BHNFPM_00882)	223.0	0.8
R_ARBabc	((BHNFPM_03857 and BHNFPM_03858 and BHNFPM_03951) or BHNFPM_03858)	176.33333333333334	0.7
R_ARBt2r	BHNFPM_03952	167.0	0.6
R_ARBt3ipp	(BHNFPM_00239 or BHNFPM_02403)	174.0	0.7
R_ARGDC	BHNFPM_01876	754.0	2.8
R_ARGDI_1	BHNFPM_03534	80.1	0.3
R_ARGDr	BHNFPM_03553	54.7	0.2
R_ARGN_1	BHNFPM_00212	418.0	1.6
R_ARGSL	(BHNFPM_01010 or BHNFPM_03231)	659.0	2.5
R_ARGSS	(BHNFPM_01010 or BHNFPM_03232)	636.0	2.4
R_ARGabc	((BHNFPM_02821 and BHNFPM_02822 and BHNFPM_02823) or BHNFPM_02631 or BHNFPM_02821 or BHNFPM_03138 or BHNFPM_03709)	301.0	1.1
R_ARGabcpp	BHNFPM_04392	63.75	0.2
R_ARGt2r	((BHNFPM_00730 and BHNFPM_00730) or BHNFPM_00730 or BHNFPM_02244)	417.0	1.6
R_ASAD	BHNFPM_02083	521.0	2.0
R_ASCBPL	BHNFPM_01034	51.2	0.2
R_ASCBpts	(BHNFPM_01824 and BHNFPM_01825)	221.75	0.8
R_ASCBptspp	BHNFPM_00882	10.4	0.0
R_ASNN	BHNFPM_02737	339.0	1.3
R_ASNS1	(BHNFPM_01685 or BHNFPM_03420)	883.0	3.3
R_ASNabc	(BHNFPM_02631 or BHNFPM_02821 or BHNFPM_03138 or BHNFPM_03709)	301.0	1.1
R_ASNt2rpp	BHNFPM_02244	157.0	0.6
R_ASNt4	BHNFPM_03490	196.0	0.7
R_ASO3t4pp	BHNFPM_01084	46.2	0.2
R_ASO4t4pp	BHNFPM_01084	46.2	0.2
R_ASO4tex	BHNFPM_00649	67.4	0.3
R_ASP1DC	(BHNFPM_02684 or BHNFPM_03627)	536.0	2.0
R_ASPCT	(BHNFPM_01027 or BHNFPM_01964)	957.0	3.6
R_ASPCT_2	BHNFPM_01964	305.0	1.2
R_ASPK	(BHNFPM_02084 or BHNFPM_03161 or BHNFPM_04293)	536.0	2.0
R_ASPO1	(BHNFPM_02233 or BHNFPM_03090)	403.0	1.5
R_ASPO6	BHNFPM_03090	403.0	1.5
R_ASPR	BHNFPM_01179	194.0	0.7
R_ASPTA	BHNFPM_02680	574.0	2.2
R_ASPTA6	BHNFPM_02201	106.0	0.4
R_ASPabc	((BHNFPM_03137 and BHNFPM_04393) or BHNFPM_02631 or BHNFPM_02821 or BHNFPM_03138 or BHNFPM_03709)	301.0	1.1
R_ASPt2_2pp	BHNFPM_03756	182.0	0.7
R_ASPt2pp	BHNFPM_01594	252.0	1.0
R_ASPt2r	BHNFPM_01594	257.0	1.0
R_ASR	BHNFPM_03510	53.5	0.2
R_ASR2	BHNFPM_04351	127.0	0.5
R_ATAH_1	(BHNFPM_02794 or BHNFPM_03892)	232.0	0.9
R_ATHRDHr	(BHNFPM_02388 or BHNFPM_04011)	118.0	0.4
R_ATPHs	spontaneous	0.0	0.0
R_ATPPRT	BHNFPM_03737	328.0	1.2
R_ATPX5P	BHNFPM_04219	317.0	1.2
R_BALAALAabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_BALABALAabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_BALAGLYabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_BALALEUabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_BALAMDAH	BHNFPM_02380	214.0	0.8
R_BALAt2pp	(BHNFPM_00872 or BHNFPM_04405)	588.0	2.2
R_BALAt2r	BHNFPM_02244	161.0	0.6
R_BCT1_syn	BHNFPM_00536	27.25	0.1
R_BDH	BHNFPM_04270	358.0	1.4
R_BETALDHx	BHNFPM_00526	389.0	1.5
R_BETALDHy	BHNFPM_00526	376.0	1.4
R_BGLA	BHNFPM_04421	404.0	1.5
R_BGLA1	(BHNFPM_01420 or BHNFPM_04316)	620.0	2.3
R_BGLK	BHNFPM_03981	123.0	0.5
R_BG_CELLB	(BHNFPM_04316 or BHNFPM_04421)	610.0	2.3
R_BG_MADG	BHNFPM_04316	610.0	2.3
R_BG_MBDG	BHNFPM_04316	610.0	2.3
R_BHBtpp	BHNFPM_04271	280.0	1.1
R_BLAMDabcpp	(BHNFPM_01492 and BHNFPM_01493 and BHNFPM_03761)	173.6	0.7
R_BTDD_RR	BHNFPM_01072	592.0	2.2
R_BTNt	(BHNFPM_00186 and BHNFPM_00187 and BHNFPM_00188 and BHNFPM_04384)	223.0	0.8
R_BTNt2i	BHNFPM_03328	111.0	0.4
R_BTOHtex	BHNFPM_00649	67.4	0.3
R_BTS	(BHNFPM_00945 or BHNFPM_00949 or BHNFPM_01837 or BHNFPM_02804)	164.0	0.6
R_BTS3r	BHNFPM_02987	46.2	0.2
R_BUP2	BHNFPM_01573	96.3	0.4
R_BUPN	BHNFPM_01573	96.3	0.4
R_BUTCT	((BHNFPM_02607 and BHNFPM_02608) or BHNFPM_02607)	206.0	0.8
R_BUTCT2	BHNFPM_02607	99.0	0.4
R_BUTKr	BHNFPM_02833	528.0	2.0
